city,address,type
Pelham Manor,"854 Pelham Pkwy Pelham Manor, NY 10803",Branch
Mount Vernon,"22 W First St Mount Vernon, NY 10550",Branch
Riverhead Main St,"7 W Main St Riverhead, NY 11901",Branch
Riverhead Plaza,"655 Old Country Rd Riverhead, NY 11901",Branch
Riverhead Shopping Center,"1450 Old Country Rd Riverhead, NY 11901",Branch
West End,"36 Genesee St Rochester, NY 14611",Branch
ST MARY'S HOSPITAL,"89 Genesse St-1st Fl Rochester, NY 14611",ATM
Monroe Ave,"560 Monroe Ave Rochester, NY 14607",Branch
UNIVERSITY OF ROCHESTER,"755 Library Rd Rochester, NY 14627",E
Greenport,"238 Main St Greenport, NY 11944",Branch
Heathcote,"20 Palmer Ave Scarsdale, NY 10583",Branch
Vernon Hills Scarsdale,"676 White Plains Rd Scarsdale, NY 10583",Branch
Scottsville,"1 Rochester St Scottsville, NY 14546",Branch
Westgate Rochester,"2130 Chili Ave Rochester, NY 14624",Branch
Henrietta,"1575 E Henrietta Rd Rochester, NY 14623",Branch
Rochester Medical Center,"260 Crittenden Blvd Rochester, NY 14642",Branch
STRONG MEMORIAL HOSPITAL,"601 Elmwood Ave Rochester, NY 14642",ATM
Seaford,"3875 Merrick Rd Seaford, NY 11783",Branch
Massapequa,"4210 Sunrise Hwy Massapequa, NY 11758",Branch
North Massapequa,"1090 Hicksville Rd North Massapequa, NY 11758",Branch
Wantagh,"1201 Wantagh Ave Wantagh, NY 11793",Branch
College Rd West Monsey,"410 Rte 59 Monsey, NY 10952",Branch
Tallman,"1 S Airmont Rd Tallman, NY 10982",Branch
Monsey,"405 W Rte 59 Monsey, NY 10952",Branch
Suffern,"67 Lafayette Ave Suffern, NY 10901",Branch
Tarrytown,"64 N Broadway Tarrytown, NY 10591",Branch
Tarrytown Station,"139 Wildey St Tarrytown, NY 10591",Branch
Elmsford Main St,"20 E Main St Elmsford, NY 10523",Branch
Pleasantville,"17 Washington Ave Pleasantville, NY 10570",Branch
Tuckahoe Main St,"62 Main St Tuckahoe, NY 10707",Branch
Eastchester,"360 White Plains Rd Eastchester, NY 10709",Branch
LAWRENCE HOSPITAL,"55 Palmer Ave Bronxville, NY 10708",ATM
Bronxville Station,"132 Parkway Rd Bronxville, NY 10708",Branch
Central Park Ave,"2195 Central Park Ave Yonkers, NY 10710",Branch
Tuxedo,"241 Orange Tpke, RT 17 Tuxedo Park, NY 10987",Branch
Greenwood Lake,"138 Windermere Ave Greenwood Lake, NY 10925",Branch
Valley Cottage,"124 Rte 303 Valley Cottage, NY 10989",Branch
West Nyack Village Square,"719 W Nyack Rd West Nyack, NY 10994",Branch
Green Acres Mall,"1200 W Walk Valley Stream, NY 11581",Branch
Central Ave,"270 N Central Ave Valley Stream, NY 11580",Branch
Bellmore,"2631 Merrick Rd Bellmore, NY 11710",Branch
Apple Valley Center,"704 Freedom Plains Rd Poughkeepsie, NY 12603",Branch
Warwick,"30 Main St Warwick, NY 10990",Branch
Warwick Fairgrounds,"146 US Hwy 94 S Warwick, NY 10990",Branch
Vernon Rt 517,"550 Rte 515 Vernon, NJ 07462",Branch
Washingtonville,"7 W Main St Washingtonville, NY 10992",Branch
New Windsor,"353 Windsor Hwy New Windsor, NY 12553",Branch
