"Location","Education","Years of Experience","Percentile","Salary"
"Houston","Graduate Degree",2,"25th",70000
"Houston","Graduate Degree",3,"25th",72000
"Houston","Graduate Degree",4,"25th",74000
"Houston","Graduate Degree",5,"25th",75000
"Houston","Graduate Degree",6,"25th",77000
"Houston","Graduate Degree",7,"25th",79000
"Houston","Graduate Degree",8,"25th",81000
"Houston","Graduate Degree",9,"25th",83000
"Houston","Graduate Degree",10,"25th",86000
"Houston","Post-Graduate Degree",0,"25th",67000
"Houston","Post-Graduate Degree",1,"25th",68000
"Houston","Post-Graduate Degree",2,"25th",70000
"Houston","Post-Graduate Degree",3,"25th",72000
"Houston","Post-Graduate Degree",4,"25th",74000
"Houston","Post-Graduate Degree",5,"25th",75000
"Houston","Post-Graduate Degree",6,"25th",77000
"Houston","Post-Graduate Degree",7,"25th",79000
"Houston","Post-Graduate Degree",8,"25th",81000
"Houston","Post-Graduate Degree",9,"25th",83000
"Houston","Post-Graduate Degree",10,"25th",86000
"San Francisco","Less than Bachelors",0,"25th",83000
"San Francisco","Less than Bachelors",1,"25th",85000
"San Francisco","Less than Bachelors",2,"25th",87000
"San Francisco","Less than Bachelors",3,"25th",90000
"San Francisco","Less than Bachelors",4,"25th",92000
"San Francisco","Less than Bachelors",5,"25th",94000
"San Francisco","Less than Bachelors",6,"25th",97000
"San Francisco","Less than Bachelors",7,"25th",99000
"San Francisco","Less than Bachelors",8,"25th",101000
"San Francisco","Less than Bachelors",9,"25th",104000
"San Francisco","Less than Bachelors",10,"25th",107000
"San Francisco","Bachelors Degree",0,"25th",90000
"San Francisco","Bachelors Degree",1,"25th",93000
"San Francisco","Bachelors Degree",2,"25th",95000
"San Francisco","Bachelors Degree",3,"25th",97000
"San Francisco","Bachelors Degree",4,"25th",1e+05
"San Francisco","Bachelors Degree",5,"25th",102000
"San Francisco","Bachelors Degree",6,"25th",105000
"San Francisco","Bachelors Degree",7,"25th",108000
"San Francisco","Bachelors Degree",8,"25th",110000
"San Francisco","Bachelors Degree",9,"25th",113000
"San Francisco","Bachelors Degree",10,"25th",116000
"San Francisco","Graduate Degree",0,"25th",96000
"San Francisco","Graduate Degree",1,"25th",99000
"San Francisco","Graduate Degree",2,"25th",101000
"San Francisco","Graduate Degree",3,"25th",104000
"San Francisco","Graduate Degree",4,"25th",106000
"San Francisco","Graduate Degree",5,"25th",109000
"San Francisco","Graduate Degree",6,"25th",112000
"San Francisco","Graduate Degree",7,"25th",115000
"San Francisco","Graduate Degree",8,"25th",117000
"San Francisco","Graduate Degree",9,"25th",120000
"San Francisco","Graduate Degree",10,"25th",124000
"San Francisco","Post-Graduate Degree",0,"25th",96000
"San Francisco","Post-Graduate Degree",1,"25th",99000
"San Francisco","Post-Graduate Degree",2,"25th",101000
"San Francisco","Post-Graduate Degree",3,"25th",104000
"San Francisco","Post-Graduate Degree",4,"25th",106000
"San Francisco","Post-Graduate Degree",5,"25th",109000
"San Francisco","Post-Graduate Degree",6,"25th",112000
"San Francisco","Post-Graduate Degree",7,"25th",115000
"San Francisco","Post-Graduate Degree",8,"25th",117000
"San Francisco","Post-Graduate Degree",9,"25th",120000
"San Francisco","Post-Graduate Degree",10,"25th",124000
"San Jose","Less than Bachelors",0,"25th",83000
"San Jose","Less than Bachelors",1,"25th",85000
"San Jose","Less than Bachelors",2,"25th",87000
"San Jose","Less than Bachelors",3,"25th",90000
