state,school_name,school_location,program_name,program_url
Ohio,Wittenberg University,"Springfield, Ohio",Master of Science in Analytics,http://www.wittenberg.edu/academics/analytics
Ohio,Xavier University,"Cincinnati, Ohio",Master of Science in Customer Analytics,http://www.xavier.edu/master-science-customer-analytics/
Oklahoma,Oklahoma State University-Main Campus,"Stillwater, Oklahoma",Bioinformatics Certification Program,http://bioinformatics.okstate.edu/
Oklahoma,Southwestern Oklahoma State University,"Weatherford, Oklahoma",M.S. Healthcare Informatics & Information Management,http://www.swosu.edu/academics/health-information-management/programs/graduate/index.aspx
Oklahoma,University of Oklahoma Norman Campus,"Norman, Oklahoma",Master of Science in Data Science and Analytics,http://www.ou.edu/content/coe/academics/graduate/academics/datascience1.html
Oregon,Oregon Health & Science University,"Portland, Oregon",Certificate in Biostatistics,http://ohsu-psu-sph.org/index.php/certificate-in-biostatistics/
Oregon,Oregon State University,"Corvallis, Oregon",Graduate Certificate in Business Analytics,http://business.oregonstate.edu/graduate-certficiates/graduate-certificate
Oregon,Portland State University,"Portland, Oregon",Graduate Certificate in Applied Statistics,https://www.pdx.edu/math/graduate-certificate-in-applied-statistics
Oregon,University of Portland,"Portland, Oregon",Certificate in Business Analytics,https://business.up.edu/certificates/business-analytics-certificate.html
Pennsylvania,Carnegie Mellon University,"Pittsburgh, Pennsylvania",Master of Computational Data Science (MCDS),http://mcds.cs.cmu.edu/
Pennsylvania,Drexel University,"Philadelphia, Pennsylvania",Business Analytics Certificate,https://www.lebow.drexel.edu/academics/executive/certificate-programs/business-analytics-certificate
Pennsylvania,Harrisburg University of Science and Technology,"Harrisburg, Pennsylvania",Online Master of Science in Analytics,http://www.harrisburgu.edu/academics/graduate/analytics/online-analytics.php
Pennsylvania,Lehigh University,"Bethlehem, Pennsylvania",Master of Science in Accounting and Information Analysis,http://cbe.lehigh.edu/msaia
Pennsylvania,Mercyhurst University,"Erie, Pennsylvania",Master of Science in Data Science,https://www.mercyhurst.edu/academics/grad/data-science
Pennsylvania,Misericordia University,"Dallas, Pennsylvania",Health Care Informatics Graduate Certificate,http://www.misericordia.edu/page.cfm?p=1117
Pennsylvania,Moravian College,"Bethlehem, Pennsylvania",Online Master's in Predictive Analytics (MSPA),https://online.moravian.edu/online-masters-predictive-analytics
Pennsylvania,Pennsylvania State University-Penn State Great Valley,"Malvern, Pennsylvania",Graduate Certificate in Data Analytics,http://greatvalley.psu.edu/academics/graduate-certificates/data-analytics
Pennsylvania,Pennsylvania State University-Penn State Harrisburg,"Middletown, Pennsylvania",Master of Science in Information Systems,https://harrisburg.psu.edu/business-administration/information-systems/master-science-information-systems
Pennsylvania,Pennsylvania State University-World Campus,"University Park, Pennsylvania",Graduate Certificate in Applied Statistics,http://www.worldcampus.psu.edu/degrees-and-certificates/applied-statistics-certificate/courses
Pennsylvania,Saint Joseph's University,"Philadelphia, Pennsylvania",Master of Science in Business Intelligence & Analytics Program,http://www.sju.edu/int/academics/hsb/grad/msbi/
Pennsylvania,The University of Scranton,"Scranton, Pennsylvania",Master of Science in Health Informatics,http://elearning.scranton.edu/mshi/ms-health-informatics
Pennsylvania,University of Pennsylvania,"Philadelphia, Pennsylvania","Master of Business Administration - Operations, Information and Decisions Specialty, Information Systems Track",https://oid.wharton.upenn.edu/programs/mba/operations-information-and-decisions/
Pennsylvania,University of Pittsburgh-Bradford,"Bradford, Pennsylvania",Master's Degree in Biomedical Informatics,http://www.dbmi.pitt.edu/training-programs
Pennsylvania,University of Pittsburgh-Pittsburgh Campus,"Pittsburgh, Pennsylvania",Business Analytics Certificate,http://www.business.pitt.edu/katz/mba/academics/certificates/analytics
Pennsylvania,Villanova University,"Villanova, Pennsylvania",Graduate Certificate in Applied Statistics,http://www1.villanova.edu/content/dam/villanova/artsci/gradstudies/AppliedStatisticsGraduateInformationSheet.pdf
Rhode-Island,Brown University,"Providence, Rhode Island",Master of Arts in Biostatistics,https://www.brown.edu/academics/public-health/biostatistics/scmam-track
Rhode-Island,Bryant University,"Smithfield, Rhode Island",Graduate Certificate in Business Analytics,http://gradschool.bryant.edu/business/analytics.htm
Rhode-Island,University of Rhode Island,"Kingston, Rhode Island",Graduate Certificate in Geographic Information Systems,https://web.uri.edu/cels-gradprograms/certificate-in-gis-and-remote-sensing/
South-Carolina,Clemson University,"Clemson, South Carolina",Doctor of Philosophy in Biomedical Data Science and Informatics,http://www.clemson.edu/graduate/academics/program-details.html?m_id=joint-BDSI
South-Carolina,Medical University of South Carolina,"Charleston, South Carolina",Master of Science in Health Informatics,http://academicdepartments.musc.edu/chp/MSHI/
South-Carolina,University of South Carolina-Columbia,"Columbia, South Carolina",Graduate Certificate in Business Analytics,http://sc.edu/study/colleges_schools/moore/academic_programs/certificate_programs/index.php
South-Dakota,Dakota State University,"Madison, South Dakota",Doctor of Science in Information Systems,http://dsu.edu/graduate-students/dscis
South-Dakota,South Dakota State University,"Brookings, South Dakota",Certificate in Data Science,https://www.sdstate.edu/mathematics-statistics/data-science-certificate
South-Dakota,University of South Dakota,"Vermillion, South Dakota",Graduate Certificate in Business Analytics,http://www.usd.edu/usd-online/online-programs/certificate-in-business-analytics
Tennessee,Austin Peay State University,"Clarksville, Tennessee",Professional Science Master's Degree in Predictive Analytics,http://www.apsu.edu/programs/graduate/computer-science-and-quantitative-methods-predictive-analytics.php
Tennessee,Lipscomb University,"Nashville, Tennessee",Master of Science in Data Science,https://www.lipscomb.edu/technology/graduate-programs/graduate-data-science
Tennessee,Middle Tennessee State University,"Murfreesboro, Tennessee",Master of Science in Information Systems (Business Intelligence and Analytics Concentration),http://www.mtsu.edu/programs/information-systems-ms/index.php#t-0
Tennessee,Tennessee Technological University,"Cookeville, Tennessee",Professional Science Master's Degree in Environmental Informatics,https://www.tntech.edu/is/ses/psm/psmei
Tennessee,The University of Tennessee at Chattanooga,"Chattanooga, Tennessee",Graduate Certificate in Business Analytics,http://www.utc.edu/college-business/academic-programs/graduate-programs/business-analytics/index.php
Tennessee,The University of Tennessee,"Knoxville, Tennessee",Master of Science in Business Analytics,http://bus.utk.edu/soms/analytics/
Tennessee,University of Memphis,"Memphis, Tennessee",Graduate Certificate in Bioinformatics,http://www.memphis.edu/bioinformatics/certificate/index.php#
Tennessee,Vanderbilt University,"Nashville, Tennessee",Master of Science in Applied Clinical Informatics,https://medschool.vanderbilt.edu/biomedical-informatics/msaci/
Texas,Southern Methodist University,"Dallas, Texas",Online Master of Science in Data Science from Southern Methodist University,https://requestinfo.datascience.smu.edu/index.html?s=mastersindatasciencesite&l=states_texas
Texas,Southern Methodist University,"Dallas, Texas",Online Master of Science in Data Science,https://requestinfo.datascience.smu.edu/index.html?s=mastersindatasciencesite&l=schools_texas--listings-featured-program
Texas,Southern Methodist University,"Dallas, Texas",Online Master of Science in Data Science,https://requestinfo.datascience.smu.edu/index.html?s=mastersdatasciencesitesmu&l=list&utm_source=mastersdatasciencesitesmu&utm_campaign=list&utm_medium=link
Texas,Tarleton State University,"Stephenville, Texas",M.S. in Mathematical Data Mining,http://www.tarleton.edu/Costweb/math/degrees/graduate.html#MSDataMining
Texas,Texas A & M University-College Station,"College Station, Texas",Graduate Certificate in Statistics,http://online.stat.tamu.edu/degree-plan/applied-statistics/
Texas,Texas Tech University,"Lubbock, Texas",Master of Science in Data Science,https://www.depts.ttu.edu/rawlsbusiness/graduate/ms/datascience/
Texas,Texas Woman's University,"Denton, Texas",Master of Science in Informatics,http://www.twu.edu/informatics/graduate-program/
Texas,The University of Texas at Arlington,"Arlington, Texas",M.S. in Business Analytics,http://www.uta.edu/msba
Texas,The University of Texas at Austin,"Austin, Texas",Master of Science in Business Analytics,http://www.mccombs.utexas.edu/business-analytics.aspx
Texas,The University of Texas at Dallas,"Richardson, Texas",Graduate Certificate in Business Intelligence and Data Mining,https://jindal.utdallas.edu/isom/information-systems-programs/certificate-programs/
Texas,The University of Texas at San Antonio,"San Antonio, Texas",Master of Science in Applied Statistics,http://graduateschool.utsa.edu/future-students/academic-programs/applied-statistics-m.s
Texas,The University of Texas Health Science Center at Houston,"Houston, Texas",Doctor of Philosophy in Biomedical Informatics,https://sbmi.uth.edu/prospective-students/academics/doctoral.htm
Texas,University of Houston-Downtown,"Houston, Texas",Master in Data Analytics,https://www.uhd.edu/academics/sciences/Pages/master-in-data-analytics.aspx
Texas,University of North Texas,"Denton, Texas",MS - Business Analytics,http://www.cob.unt.edu/programs/masters/tracksheets/MS%20Business%20Analytics.pdf
Utah,Brigham Young University-Provo,"Provo, Utah",Master of Information Systems Management - Business Analytics and Intelligence,https://marriottschool.byu.edu/infosys/mism/what-will-i-study/program-overview/
Utah,University of Utah,"Salt Lake City, Utah",Certificate in Big Data,http://www.cs.utah.edu/bigdata/
Vermont,University of Vermont,"Burlington, Vermont",Certificate of Graduate Study in Complex Systems,http://www.uvm.edu/~cmplxsys/teaching-learning/certificate-of-study-in-complex-systems/
Virginia,College of William and Mary,"Williamsburg, Virginia",Master of Science in Business Analytics,http://mason.wm.edu/programs/msba/index.php
Virginia,George Mason University,"Fairfax, Virginia",Doctor of Philosophy in Computational Sciences and Informatics,https://cos.gmu.edu/cds/phd-in-computational-sciences-and-informatics/
Virginia,Radford University,"Radford, Virginia",MS in Data and Information Management,http://www.radford.edu/content/csat/home/daim/about.html
Virginia,University of Mary Washington,"Fredericksburg, Virginia",Masters in Geospatial Analysis,http://cas.umw.edu/gis/masters/
Virginia,University of Virginia,"Charlottesville, Virginia",Master of Science in Commerce - Business Analytics,https://www.commerce.virginia.edu/ms-commerce/business-analytics
Virginia,Virginia Commonwealth University,"Richmond, Virginia",Executive MBA with concentration in business analytics,http://bulletin.vcu.edu/graduate/school-business/mba-programs/business-administration-executive-business-analytics/
Virginia,Virginia Tech,"Blacksburg, Virginia",Master of Information Technology - Business Information Systems,http://vtmit.vt.edu/academics/modules/business-information-systems.html
Washington,Bellevue College,"Bellevue, Washington",Healthcare Data Analyst Certificate,http://www.bellevuecollege.edu/ce/healthcare-classes/healthcare-data-analyst-certificate/
Washington,City University of Seattle,"Seattle, Washington",Master of Science in Computer Science with Concentration in Big Data Management,http://www.cityu.edu/programs-overview/master-science-computer-science/
Washington,Seattle University,"Seattle, Washington",Graduate Certificate in Business Analytics,https://www.seattleu.edu/albers/graduate/certificates/business-analytics/
Washington,University of Washington-Seattle Campus,"Seattle, Washington",Certificate in Data Science,http://www.pce.uw.edu/certificates/data-science.html
Washington,University of Washington-Tacoma Campus,"Tacoma, Washington",Certificate in Business Analysis,http://www.pce.uw.edu/certificates/business-analysis.html
West-Virginia,Marshall University,"Huntington, West Virginia",Graduate Certificate in Bioinformatics,http://www.marshall.edu/graduate/select-your-degree-or-certificate-program/graduate-certificate-in-bioinformatics/
West-Virginia,West Virginia University,"Morgantown, West Virginia",Certificate in Applied Statistics,http://catalog.wvu.edu/graduate/eberlycollegeofartsandsciences/statistics/
Wisconsin,Marquette University,"Milwaukee, Wisconsin",Master of Science in Applied Statistics,http://www.marquette.edu/mscs/grad-applied-statistics.shtml
Wisconsin,University of Wisconsin Colleges,"Madison, Wisconsin",Online Master of Science in Data Science,http://datasciencedegree.wisconsin.edu/
Wisconsin,University of Wisconsin-Madison,"Madison, Wisconsin",Master of Science in Statistics - Data Science,https://advanceyourcareer.wisc.edu/degrees/data-science/
Wisconsin,University of Wisconsin-Milwaukee,"Milwaukee, Wisconsin",Online Graduate Certificate in Business Analytics,http://uwm.edu/graduateschool/business-analytics-certificate/
District-of-Columbia,American University,"Washington, District of Columbia",Master of Science in  Analytics,http://requestinfo.onlinebusiness.american.edu/analytics.html?s=mastersindatasciencesite&l=schools_district-of-columbia--listings-featured-program
District-of-Columbia,George Washington University,"Washington, District of Columbia",Online MS in Management of Health Informatics and Analytics,https://requestinfo.publichealthonline.gwu.edu/mhi.html?s=mastersindatasciencesite&l=schools_district-of-columbia--listings-featured-program
District-of-Columbia,American University,"Washington, District of Columbia",Master of Science in  Analytics,http://www.american.edu/kogod/graduate/MS-ANLT.cfm
District-of-Columbia,George Washington University,"Washington, District of Columbia",Online MS in Management of Health Informatics and Analytics,https://publichealthonline.gwu.edu/health-informatics/
District-of-Columbia,Georgetown University,"Washington, District of Columbia",Certificate in Biostatistics,http://biostatistics.georgetown.edu/education/certificate/biostatistics
