state,school_name,school_location,program_name,program_url
Kentucky,University of Kentucky,"Lexington, Kentucky",Master of Applied Statistics,https://stat.as.uky.edu/mas
Kentucky,University of Louisville,"Louisville, Kentucky",Certificate in Data Mining,http://louisville.edu/speed/computer/graduate-studies/dataMining
Louisiana,Louisiana State University,"Baton Rouge, Louisiana",Master of Science in Analytics,http://businessanalytics.lsu.edu/
Louisiana,Louisiana Tech University,"Ruston, Louisiana",Master of Health Informatics,http://him.latech.edu/masters.html
Louisiana,Tulane University of Louisiana,"New Orleans, Louisiana",Master of Science in Biostatistics,http://www.sph.tulane.edu/gbds/ms
Louisiana,University of Louisiana-Monroe,"Monroe, Louisiana",Certificate in Mortgage Analytics,http://catalog.ulm.edu/preview_program.php?catoid=23&poid=2860&returnto=2877
Louisiana,University of New Orleans,"New Orleans, Louisiana",Master of Science in Computer Science - Bioinformatics,http://www.uno.edu/cos/computer-science/bioinformatics.aspx
Maine,University of Maine at Farmington,"Farmington, Maine",Certificate in Applied Statistics,http://usm.maine.edu/catalogs/2013-14/certificate-applied-statistics
Maine,University of Maine,"Orono, Maine",Graduate Certificate in Geographic Information Systems,https://online.umaine.edu/graduate-certificates/geographic-information-systems/
Maine,University of New England,"Biddeford, Maine",Graduate Certificate in Health Informatics,http://online.une.edu/health-informatics/graduate-certificate/
Maine,University of Southern Maine,"Portland, Maine",Certificate in Applied Statistics,https://usm.maine.edu/math/certificate-applied-statistics
Maryland,Johns Hopkins University,"Baltimore, Maryland",DrPh in Public Health Informatics,http://www.jhsph.edu/departments/health-policy-and-management/degree-programs/drph-in-health-policy-and-management/drph-in-public-health-informatics/
Maryland,Loyola University Maryland,"Baltimore, Maryland",Master of Science in Data Science,http://www.loyola.edu/academics/data-science
Maryland,Notre Dame of Maryland University,"Baltimore, Maryland",Master of Science in Analytics in Knowledge Management,http://www.ndm.edu/grad-prof-studies/academics/programs/analytics
Maryland,University of Maryland-Baltimore County,"Baltimore, Maryland",Master of Science in Information Systems,http://onlinems.umbc.edu/
