Speaker,Title,Link,Date,Year,Month,Gender
Marian R. Boyer,Organize Yourselves,https://www.lds.org/general-conference/1980/10?lang=eng,10/1/80,1980,10,F
Shirley W. Thomas,The Doctrines of the Kingdom,https://www.lds.org/general-conference/1980/10?lang=eng,10/1/80,1980,10,F
Boyd K. Packer,The Choice,https://www.lds.org/general-conference/1980/10?lang=eng,10/1/80,1980,10,M
Boyd K. Packer,The Circle of Sisters,https://www.lds.org/general-conference/1980/10?lang=eng,10/1/80,1980,10,M
Bruce R. McConkie,The Lord God of the Restoration,https://www.lds.org/general-conference/1980/10?lang=eng,10/1/80,1980,10,M
David B. Haight,“The Keys of the Kingdom”,https://www.lds.org/general-conference/1980/10?lang=eng,10/1/80,1980,10,M
Derek A. Cuthbert,Our Thirtieth Anniversary as Latter-day Saints,https://www.lds.org/general-conference/1980/10?lang=eng,10/1/80,1980,10,M
Douglas W. DeHaan,“Is Any Thing Too Hard for the Lord?”,https://www.lds.org/general-conference/1980/10?lang=eng,10/1/80,1980,10,M
Ezra Taft Benson,Prepare for the Days of Tribulation,https://www.lds.org/general-conference/1980/10?lang=eng,10/1/80,1980,10,M
Gene R. Cook,Miracles among the Lamanites,https://www.lds.org/general-conference/1980/10?lang=eng,10/1/80,1980,10,M
George P. Lee,"“Acquaint Thyself with Him, and Be at Peace”",https://www.lds.org/general-conference/1980/10?lang=eng,10/1/80,1980,10,M
Gordon B. Hinckley,“Of You It Is Required to Forgive”,https://www.lds.org/general-conference/1980/10?lang=eng,10/1/80,1980,10,M
H. Burke Peterson,Purify Our Minds and Spirits,https://www.lds.org/general-conference/1980/10?lang=eng,10/1/80,1980,10,M
J. Richard Clarke,The Household of Faith,https://www.lds.org/general-conference/1980/10?lang=eng,10/1/80,1980,10,M
J. Thomas Fyans,Seven Events of Great Consequence,https://www.lds.org/general-conference/1980/10?lang=eng,10/1/80,1980,10,M
James E. Faust,These I Will Make My Leaders,https://www.lds.org/general-conference/1980/10?lang=eng,10/1/80,1980,10,M
Joseph B. Wirthlin,Let Every Man Learn His Duty,https://www.lds.org/general-conference/1980/10?lang=eng,10/1/80,1980,10,M
L. Tom Perry,"“For Whatsoever a Man Soweth, That Shall He Also Reap”",https://www.lds.org/general-conference/1980/10?lang=eng,10/1/80,1980,10,M
LeGrand Richards,A Testimony,https://www.lds.org/general-conference/1980/10?lang=eng,10/1/80,1980,10,M
M. Russell Ballard,The Savior’s Touch,https://www.lds.org/general-conference/1980/10?lang=eng,10/1/80,1980,10,M
Marion G. Romney,The Sustaining of Church Officers,https://www.lds.org/general-conference/1980/10?lang=eng,10/1/80,1980,10,M
Marion G. Romney,“The Oath and Covenant Which Belongeth to the Priesthood”,https://www.lds.org/general-conference/1980/10?lang=eng,10/1/80,1980,10,M
Marion G. Romney,Repentance,https://www.lds.org/general-conference/1980/10?lang=eng,10/1/80,1980,10,M
Marion G. Romney,Welfare Services:The Savior’s Program,https://www.lds.org/general-conference/1980/10?lang=eng,10/1/80,1980,10,M
Mark E. Petersen,"Adam, the Archangel",https://www.lds.org/general-conference/1980/10?lang=eng,10/1/80,1980,10,M
Marvin J. Ashton,Adversity and You,https://www.lds.org/general-conference/1980/10?lang=eng,10/1/80,1980,10,M
N. Eldon Tanner,The Blessing of a Testimony,https://www.lds.org/general-conference/1980/10?lang=eng,10/1/80,1980,10,M
Neal A. Maxwell,The Net Gathers of Every Kind,https://www.lds.org/general-conference/1980/10?lang=eng,10/1/80,1980,10,M
Rex C. Reeve,“Feed My Sheep”,https://www.lds.org/general-conference/1980/10?lang=eng,10/1/80,1980,10,M
Rex D. Pinegar,Decide to Decide,https://www.lds.org/general-conference/1980/10?lang=eng,10/1/80,1980,10,M
Robert E. Wells,Know the Shepherd,https://www.lds.org/general-conference/1980/10?lang=eng,10/1/80,1980,10,M
Robert L. Backman,To the Young Men of the Church,https://www.lds.org/general-conference/1980/10?lang=eng,10/1/80,1980,10,M
Robert L. Simpson,The House of the Lord,https://www.lds.org/general-conference/1980/10?lang=eng,10/1/80,1980,10,M
Spencer W. Kimball,Families Can Be Eternal,https://www.lds.org/general-conference/1980/10?lang=eng,10/1/80,1980,10,M
Spencer W. Kimball,Ministering to the Needs of Members,https://www.lds.org/general-conference/1980/10?lang=eng,10/1/80,1980,10,M
Spencer W. Kimball,“Do Not Weary by the Way”,https://www.lds.org/general-conference/1980/10?lang=eng,10/1/80,1980,10,M
Spencer W. Kimball,The Law of Tithing,https://www.lds.org/general-conference/1980/10?lang=eng,10/1/80,1980,10,M
Spencer W. Kimball,“Learn—Then Teach”,https://www.lds.org/general-conference/1980/10?lang=eng,10/1/80,1980,10,M
Thomas S. Monson,The Bishop—Center Stage in Welfare,https://www.lds.org/general-conference/1980/10?lang=eng,10/1/80,1980,10,M
Vaughn J. Featherstone,"“Forgive Them, I Pray Thee”",https://www.lds.org/general-conference/1980/10?lang=eng,10/1/80,1980,10,M
Victor L. Brown,“Prepare Every Needful Thing”,https://www.lds.org/general-conference/1980/10?lang=eng,10/1/80,1980,10,M
Boyd K. Packer,“Judge Not According to the Appearance”,https://www.lds.org/general-conference/1979/04?lang=eng,4/1/79,1979,4,M
Bruce R. McConkie,Stand Independent above All Other Creatures,https://www.lds.org/general-conference/1979/04?lang=eng,4/1/79,1979,4,M
David B. Haight,“Feed My Sheep”,https://www.lds.org/general-conference/1979/04?lang=eng,4/1/79,1979,4,M
Ezra Taft Benson,This Is a Day of Sacrifice,https://www.lds.org/general-conference/1979/04?lang=eng,4/1/79,1979,4,M
Ezra Taft Benson,Church Government through Councils,https://www.lds.org/general-conference/1979/04?lang=eng,4/1/79,1979,4,M
Francis M. Gibbons,Statistical Report 1978,https://www.lds.org/general-conference/1979/04?lang=eng,4/1/79,1979,4,M
Franklin D. Richards,Personal and Family Financial Preparedness,https://www.lds.org/general-conference/1979/04?lang=eng,4/1/79,1979,4,M
G. Homer Durham,The Home as an Educational Institution,https://www.lds.org/general-conference/1979/04?lang=eng,4/1/79,1979,4,M
Gordon B. Hinckley,And Peter Went Out and Wept Bitterly,https://www.lds.org/general-conference/1979/04?lang=eng,4/1/79,1979,4,M
Hartman Rector Jr.,Following Christ to Victory,https://www.lds.org/general-conference/1979/04?lang=eng,4/1/79,1979,4,M
Howard W. Hunter,Developing Spirituality,https://www.lds.org/general-conference/1979/04?lang=eng,4/1/79,1979,4,M
James E. Faust,The Refiner’s Fire,https://www.lds.org/general-conference/1979/04?lang=eng,4/1/79,1979,4,M
James M. Paramore,A Personal Commitment,https://www.lds.org/general-conference/1979/04?lang=eng,4/1/79,1979,4,M
L. Tom Perry,The Kingdom of God,https://www.lds.org/general-conference/1979/04?lang=eng,4/1/79,1979,4,M
Loren C. Dunn,The Spirit Giveth Life,https://www.lds.org/general-conference/1979/04?lang=eng,4/1/79,1979,4,M
Marion D. Hanks,He Means Me,https://www.lds.org/general-conference/1979/04?lang=eng,4/1/79,1979,4,M
Marion G. Romney,Trust in the Lord,https://www.lds.org/general-conference/1979/04?lang=eng,4/1/79,1979,4,M
Marion G. Romney,"We, The Church of Jesus Christ of Latter-day Saints",https://www.lds.org/general-conference/1979/04?lang=eng,4/1/79,1979,4,M
Marion G. Romney,Fundamental Welfare Services,https://www.lds.org/general-conference/1979/04?lang=eng,4/1/79,1979,4,M
Mark E. Petersen,Signs of the True Church,https://www.lds.org/general-conference/1979/04?lang=eng,4/1/79,1979,4,M
Marvin J. Ashton,Roadblocks to Progress,https://www.lds.org/general-conference/1979/04?lang=eng,4/1/79,1979,4,M
N. Eldon Tanner,To Those Searching for Happiness,https://www.lds.org/general-conference/1979/04?lang=eng,4/1/79,1979,4,M
N. Eldon Tanner,The Sustaining of Church Officers,https://www.lds.org/general-conference/1979/04?lang=eng,4/1/79,1979,4,M
N. Eldon Tanner,“Put on the Whole Armor of God”,https://www.lds.org/general-conference/1979/04?lang=eng,4/1/79,1979,4,M
N. Eldon Tanner,New Emphasis on Church Councils,https://www.lds.org/general-conference/1979/04?lang=eng,4/1/79,1979,4,M
Paul H. Dunn,“Because I Have a Father”,https://www.lds.org/general-conference/1979/04?lang=eng,4/1/79,1979,4,M
Robert D. Hales,“What Think Ye of Christ?”“Whom Say Ye That I Am?”,https://www.lds.org/general-conference/1979/04?lang=eng,4/1/79,1979,4,M
Royden G. Derrick,The Heritage of Royal Families,https://www.lds.org/general-conference/1979/04?lang=eng,4/1/79,1979,4,M
Spencer W. Kimball,Fortify Your Homes Against Evil,https://www.lds.org/general-conference/1979/04?lang=eng,4/1/79,1979,4,M
Spencer W. Kimball,Preparing for Service in the Church,https://www.lds.org/general-conference/1979/04?lang=eng,4/1/79,1979,4,M
Spencer W. Kimball,Let Us Move Forward and Upward,https://www.lds.org/general-conference/1979/04?lang=eng,4/1/79,1979,4,M
Spencer W. Kimball,Applying the Principles of Welfare Services,https://www.lds.org/general-conference/1979/04?lang=eng,4/1/79,1979,4,M
Theodore M. Burton,The Need for Love,https://www.lds.org/general-conference/1979/04?lang=eng,4/1/79,1979,4,M
Thomas S. Monson,The Army of the Lord,https://www.lds.org/general-conference/1979/04?lang=eng,4/1/79,1979,4,M
Victor L. Brown,Developing Temporal Plans and Priorities,https://www.lds.org/general-conference/1979/04?lang=eng,4/1/79,1979,4,M
Wilford G. Edling,Church Finance Committee Report,https://www.lds.org/general-conference/1979/04?lang=eng,4/1/79,1979,4,M
Barbara B. Smith,The Relief Society Role in Priesthood Councils,https://www.lds.org/general-conference/1979/10?lang=eng,10/1/79,1979,10,F
Barbara B. Smith,Women for the Latter Day,https://www.lds.org/general-conference/1979/10?lang=eng,10/1/79,1979,10,F
Elaine A. Cannon,Our Mighty Errand,https://www.lds.org/general-conference/1979/10?lang=eng,10/1/79,1979,10,F
Naomi M. Shumway,Teaching Our Little Women,https://www.lds.org/general-conference/1979/10?lang=eng,10/1/79,1979,10,F
A. Theodore Tuttle,Therefore I Was Taught,https://www.lds.org/general-conference/1979/10?lang=eng,10/1/79,1979,10,M
Adney Y. Komatsu,“After Much Tribulation Come the Blessings”,https://www.lds.org/general-conference/1979/10?lang=eng,10/1/79,1979,10,M
Bernard P. Brockbank,Prayer to Our Heavenly Father,https://www.lds.org/general-conference/1979/10?lang=eng,10/1/79,1979,10,M
Boyd K. Packer,Prayers and Answers,https://www.lds.org/general-conference/1979/10?lang=eng,10/1/79,1979,10,M
Bruce R. McConkie,The Mystery of Mormonism,https://www.lds.org/general-conference/1979/10?lang=eng,10/1/79,1979,10,M
Charles A. Didier,Language:A Divine Way of Communicating,https://www.lds.org/general-conference/1979/10?lang=eng,10/1/79,1979,10,M
David B. Haight,Joseph Smith the Prophet,https://www.lds.org/general-conference/1979/10?lang=eng,10/1/79,1979,10,M
Ezra Taft Benson,A Witness and a Warning,https://www.lds.org/general-conference/1979/10?lang=eng,10/1/79,1979,10,M
Gordon B. Hinckley,"“An Angel from on High, the Long, Long Silence Broke”",https://www.lds.org/general-conference/1979/10?lang=eng,10/1/79,1979,10,M
Howard W. Hunter,Reading the Scriptures,https://www.lds.org/general-conference/1979/10?lang=eng,10/1/79,1979,10,M
Hugh W. Pinnock,“We Will Go with Our Young and with Our Old”,https://www.lds.org/general-conference/1979/10?lang=eng,10/1/79,1979,10,M
J. Thomas Fyans,Priesthood Administration of Welfare Services,https://www.lds.org/general-conference/1979/10?lang=eng,10/1/79,1979,10,M
James E. Faust,Establishing the Church:Welfare Services Missionaries Are an Important Resource,https://www.lds.org/general-conference/1979/10?lang=eng,10/1/79,1979,10,M
L. Tom Perry,Making the Right Decisions,https://www.lds.org/general-conference/1979/10?lang=eng,10/1/79,1979,10,M
LeGrand Richards,The Gift of the Holy Ghost,https://www.lds.org/general-conference/1979/10?lang=eng,10/1/79,1979,10,M
Marion G. Romney,Maintaining Spirituality,https://www.lds.org/general-conference/1979/10?lang=eng,10/1/79,1979,10,M
Marion G. Romney,Faith in the Lord Jesus Christ,https://www.lds.org/general-conference/1979/10?lang=eng,10/1/79,1979,10,M
