Speaker,Title,Link,Date,Year,Month,Gender
Dean L. Larsen,"Faith, Courage, and Making Choices",https://www.lds.org/general-conference/1978/10?lang=eng,10/1/78,1978,10,M
Ezra Taft Benson,Worthy of All Acceptation,https://www.lds.org/general-conference/1978/10?lang=eng,10/1/78,1978,10,M
F. Burton Howard,Be One with the Prophet,https://www.lds.org/general-conference/1978/10?lang=eng,10/1/78,1978,10,M
Gordon B. Hinckley,“Behold Your Little Ones”,https://www.lds.org/general-conference/1978/10?lang=eng,10/1/78,1978,10,M
H. Burke Peterson,Attending to Personal and Family Preparedness,https://www.lds.org/general-conference/1978/10?lang=eng,10/1/78,1978,10,M
Howard W. Hunter,True Religion,https://www.lds.org/general-conference/1978/10?lang=eng,10/1/78,1978,10,M
J. Richard Clarke,Successful Welfare Stewardship,https://www.lds.org/general-conference/1978/10?lang=eng,10/1/78,1978,10,M
J. Thomas Fyans,Ours Is a Shared Ancestry,https://www.lds.org/general-conference/1978/10?lang=eng,10/1/78,1978,10,M
Jack H Goaslind Jr.,“Never Be Weary of Good Works”,https://www.lds.org/general-conference/1978/10?lang=eng,10/1/78,1978,10,M
Jacob de Jager,Let There Be No Misunderstanding,https://www.lds.org/general-conference/1978/10?lang=eng,10/1/78,1978,10,M
James E. Faust,Response to the Call,https://www.lds.org/general-conference/1978/10?lang=eng,10/1/78,1978,10,M
John H. Groberg,"“Come Home, Felila”",https://www.lds.org/general-conference/1978/10?lang=eng,10/1/78,1978,10,M
Joseph B. Wirthlin,Let Your Light So Shine,https://www.lds.org/general-conference/1978/10?lang=eng,10/1/78,1978,10,M
L. Tom Perry,Home Teaching—A Sacred Calling,https://www.lds.org/general-conference/1978/10?lang=eng,10/1/78,1978,10,M
LeGrand Richards,The Joy of Serving a Mission,https://www.lds.org/general-conference/1978/10?lang=eng,10/1/78,1978,10,M
M. Russell Ballard,Spiritual Development,https://www.lds.org/general-conference/1978/10?lang=eng,10/1/78,1978,10,M
Marion G. Romney,The Worth of Souls,https://www.lds.org/general-conference/1978/10?lang=eng,10/1/78,1978,10,M
Marion G. Romney,A Disciple of Christ,https://www.lds.org/general-conference/1978/10?lang=eng,10/1/78,1978,10,M
Marion G. Romney,Caring for the Poor—A Covenantal Obligation,https://www.lds.org/general-conference/1978/10?lang=eng,10/1/78,1978,10,M
Mark E. Petersen,The Last Words of Moroni,https://www.lds.org/general-conference/1978/10?lang=eng,10/1/78,1978,10,M
Marvin J. Ashton,Who Will Forfeit the Harvest?,https://www.lds.org/general-conference/1978/10?lang=eng,10/1/78,1978,10,M
N. Eldon Tanner,"Revelation on Priesthood Accepted,Church Officers Sustained",https://www.lds.org/general-conference/1978/10?lang=eng,10/1/78,1978,10,M
N. Eldon Tanner,The Blessing of Church Interviews,https://www.lds.org/general-conference/1978/10?lang=eng,10/1/78,1978,10,M
N. Eldon Tanner,A Basis for Faith in the Living God,https://www.lds.org/general-conference/1978/10?lang=eng,10/1/78,1978,10,M
Rex D. Pinegar,The Gift of Love,https://www.lds.org/general-conference/1978/10?lang=eng,10/1/78,1978,10,M
Robert E. Wells,The Cs of Spirituality,https://www.lds.org/general-conference/1978/10?lang=eng,10/1/78,1978,10,M
S. Dilworth Young,"“He Hath Showed Thee, O Man, What Is Good”",https://www.lds.org/general-conference/1978/10?lang=eng,10/1/78,1978,10,M
Spencer W. Kimball,“Hold Fast to the Iron Rod”,https://www.lds.org/general-conference/1978/10?lang=eng,10/1/78,1978,10,M
Spencer W. Kimball,Fundamental Principles to Ponder and Live,https://www.lds.org/general-conference/1978/10?lang=eng,10/1/78,1978,10,M
Spencer W. Kimball,An Eternal Hope in Christ,https://www.lds.org/general-conference/1978/10?lang=eng,10/1/78,1978,10,M
Spencer W. Kimball,The Fruit of Our Welfare Services Labors,https://www.lds.org/general-conference/1978/10?lang=eng,10/1/78,1978,10,M
