zipcode,city,county,state,metro
76205,Shady Shores,Denton County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
76208,Shady Shores,Denton County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75275,Southern Methodist Universit,Dallas County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75182,Sunnyvale,Dallas County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75160,Terrell,Kaufman County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75161,Terrell,Kaufman County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75056,The Colony,Denton County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75143,Tool,Kaufman County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75751,Tri Cities,Henderson County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75163,Trinidad,Henderson County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
76262,Trophy Club,Denton County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75310,TU Electric,Dallas County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75205,University Park,Dallas County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75099,USPS Official Mail,Dallas County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75390,UT Sw Medical Center,Dallas County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75205,Village,Dallas County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75395,Wachovia Bank and Trust,Dallas County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75751,Walton,Henderson County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75165,Waxahachie,Ellis County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75167,Waxahachie,Ellis County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75168,Waxahachie,Ellis County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75320,Wells Fargo Bank,Dallas County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75326,Wells Fargo Bank,Dallas County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75474,West Tawakoni,Hunt County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
76262,Westlake,Denton County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75485,Westminster,Collin County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75097,Weston,Collin County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75172,Wilmer,Dallas County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75496,Wolfe City,Hunt County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
75098,Wylie,Collin County,Texas - TX,"Dallas-Fort Worth, TX (1920)"
