title,address,city,state,price,bedrooms,bathrooms
Get Up To $300 Off August On A 12 Month Contract!,4151 N Traverse Mountain Blvd,Lehi,UT,1159,1,1
"When Minutes Matter, Live Where You Work and Play!",1532 N Rosa Lane,Saratoga Springs,UT,1819,4,3.5
Get $400 Off August On A 12-Month Contract!,4151 N Traverse Mountain Blvd,Lehi,UT,1299,2,1
Get $500 Off August On A 12-Month Contract!,4151 N Traverse Mountain Blvd,Lehi,UT,1599,3,2
Stunning 3 Bedroom Apartment Ready To Reserve!,3315 N Center St,Lehi,UT,1739,3,2
Spacious Duplex minutes from UVU,1068 W 300 S,Lehi,UT,1000,3,2
Move-in Special Half-off First Month,4443 N Foxtrail Dr,Lehi,UT,2150,3,2.5
Massive & Brand New 2x2 Home Coming Available 9/1!,1350 E 200 S,Lehi,UT,1544,2,2
Get $400 Off August On A 12-Month Contract!,4151 N Traverse Mountain Blvd,Lehi,UT,1379,2,2
"OFFICE SUITES, in Historic Lehi Bldg",195 W Main St,Lehi,UT,425,0,0
Spacious Basement Apartment in East Lehi,2068 N Hidden Creek Dr,Lehi,UT,1300,2,1
Astonishing Home in Newland Loop,3424 W Newland Loop,Lehi,UT,1650,4,3
Spacious Floor Plans with Beautiful Mountain Views,4125 N 3250 W,Lehi,UT,1005,2,1
Get $400 Off August On A 12-Month Contract!,4151 N Traverse Mountain Blvd,Lehi,UT,1399,2,2
Spacious 2 Bedroom Available!,4125 N 3250 W,Lehi,UT,1005,2,1
"Spacious 1x1 Home with Balcony, Available 9/1!",1350 E 200 S,Lehi,UT,1185,1,1
NORTH LEHI HOME BEHIND ADOBE,2818 W Chestnut St,Lehi,UT,2400,4,2.5
**1/2 off first month's rent**Lehi Town Home,1946 N Hollow Ct,Lehi,UT,1585,3,2.5
North Lehi Townhome- Available Now!,1575 W 3180 N,Lehi,UT,1450,3,2.5
GORGEOUS - New Carpet & New Paint - MUST SEE,880 N 500 W,Lehi,UT,1150,2,1
Stunning Lehi Townhome,364 N Grassland Dr,Lehi,UT,1800,5,2
Beautiful Town home at Traverse Mountain,4299 Cresthaven Ln,Lehi,UT,1600,3,3
"Female tenant, Master Room with Priv. Bth for $750",2183 W 1170 S,Lehi,UT,750,4,3
Love Where You Live! Town Homes Ready for Move-in!,1532 N Rosa Lane,Saratoga Springs,UT,1669,3,2.5
July Free on 3 Bed/2.5 Bath Townhome in Lehi,2854 N 1230 W,Lehi,UT,1425,3,2.5
Stunning Saratoga Springs Townhome,2032 N Churchill Dr,Saratoga Springs,UT,1445,3,2.5
Brand New Townhome with Lake Views!,328 E Wren Hill Ln,Saratoga Springs,UT,1800,4,3
Gorgeous mid-level 3 bed condo in N Saratoga Spr,2001 N Crest Road,Saratoga Springs,UT,1295,3,2
$200 OFF 1ST MONTH'S RENT - BEAUTIFUL TOWNHOME,247 E Sunshine Dr,Saratoga Springs,UT,1695,4,3.5
Incredible Apartment,1256 N Commerce Dr,Saratoga Springs,UT,1149,1,1
BRAND NEW 3-BEDROOM CONDO IN SARATOGA SPRINGS,1761 W Terra Vista Dr,Saratoga Springs,UT,1460,3,2
MOVE IN SPECIAL: HALF-OFF FIRST MONTH'S RENT,1954 N Crest Rd,Saratoga Springs,UT,1500,3,2
"Clean 3 Bed 2.5 Bath, landlord paid utilities",3562 S Harrier Dr,Saratoga Springs,UT,1650,3,2.5
REDUCED PRICE,1256 N Commerce Dr,Saratoga Springs,UT,1579,3,2
"3 bd/2 ba condo in Harvest Hills, Saratoga Springs",23 W Ridge Rd,Saratoga Springs,UT,1125,3,2
Large 3 bed Town Home in Central Saratoga,108 E River View Dr,Saratoga Springs,UT,1550,3,3
Great 3 bed house in Harvest Hills,343 Strawberry Place,Saratoga Springs,UT,1400,3,2.5
Knauer Condo 163,163 W Spring View Dr Bldg #E,Saratoga Springs,UT,1200,3,2
Single-Family Home - Saratoga Springs - Dog OK,835 Saratoga Dr,Saratoga Springs,UT,1650,3,2
Beautiful Townhome with great mountain views.,437 S Pegasus Way,Saratoga Springs,UT,1800,3,2
PRICE REDUCTION,1256 N Commerce Dr,Saratoga Springs,UT,1299,2,2
Saratoga Springs Condo Available July 15th,247 W Ridge Rd,Saratoga Springs,UT,1400,3,2
PRICE REDUCTION,1258 N Commerce Dr,Saratoga Springs,UT,1299,2,2
Brand New Harvest Hills Town Home,128 W Harvest Villiage Ln,Saratoga Springs,UT,1800,3,2.5
3 Bd 2 Bath Condo with 1 Car Garage,61 W Ridge Rd,Saratoga Springs,UT,1395,3,2
Brand new 3 Bedrooms 2 bathroom home!,1772 W Terra Vista Dr,Saratoga Springs,UT,1495,3,2
"Elegant, Brand New 3br/2ba Home w/ Garage",1772 W Terra Vista Dr,Saratoga Springs,UT,1475,3,2
Legacy Farms Town Home,188 E Boxcar Ln,Saratoga Springs,UT,1800,3,2
Most Affordable 3 Bedroom in Saratoga Springs,2252 N Harvest Moon Dr,Saratoga Springs,UT,1500,3,2.5
NEWLY REMODELED condo with vaulted ceiling!,2121 N Aurora Way,Saratoga Springs,UT,1300,3,2
"1 Bed 1 Bath, Vaulted Ceiling, Great View!",355 W 920 N,orem,UT,1149,2,1
Beautiful One Bedroom With Gorgeous Mountain Views,40 N Orem Blvd,Orem,UT,1030,1,1
