name,album,artist,type,release_date,year,minutes,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,feature
God's Plan,Scary Hours,Drake,EP,1/20/18,2018,3.32,69,0.755,0.0283,0.755,0.448,3.28E-05,0.514,-9.587,0.107,77.179,4,FALSE
Diplomatic Immunity,Scary Hours,Drake,EP,1/20/18,2018,4.26,41,0.663,0.00472,0.663,0.846,0,0.292,-5.226,0.453,75.137,4,FALSE
Schemin Up (feat. Drake and P. Reign),Schemin Up (feat. Drake and P. Reign),OB OBrien,Feature,12/15/14,2014,5.51,54,0.752,0.338,0.752,0.766,0,0.0861,-5.11,0.251,141.82,4,TRUE
That's How You Feel,Scorpion,Drake,Studio,6/29/18,2018,2.63,69,0.81,0.152,0.81,0.451,0.0537,0.108,-6.348,0.249,85.417,4,FALSE
Talk Up,Scorpion,Drake,Studio,6/29/18,2018,3.26,71,0.759,0.0039,0.759,0.479,5.30E-06,0.302,-10.65,0.186,140.089,4,FALSE
Survival,Scorpion,Drake,Studio,6/29/18,2018,2.27,72,0.685,0.134,0.685,0.593,0,0.123,-9.083,0.284,84.763,4,FALSE
Summer Games,Scorpion,Drake,Studio,6/29/18,2018,4.13,70,0.776,0.481,0.776,0.482,0.0457,0.11,-11.268,0.0356,136.015,4,FALSE
Sandra's Rose,Scorpion,Drake,Studio,6/29/18,2018,3.61,70,0.487,0.047,0.487,0.85,0,0.142,-5.427,0.25,152.102,4,FALSE
Ratchet Happy Birthday,Scorpion,Drake,Studio,6/29/18,2018,3.46,68,0.648,0.458,0.648,0.535,0.00246,0.106,-13.295,0.1,168.03,4,FALSE
Peak,Scorpion,Drake,Studio,6/29/18,2018,3.43,69,0.689,0.847,0.689,0.217,0.000123,0.106,-13.539,0.0387,92.007,4,FALSE
Nonstop,Scorpion,Drake,Studio,6/29/18,2018,3.98,80,0.909,0.0306,0.909,0.405,0.00698,0.105,-8.133,0.14,154.984,4,FALSE
Nice For What,Scorpion,Drake,Studio,6/29/18,2018,3.51,72,0.7,0.0884,0.7,0.909,0.000114,0.0778,-6.461,0.0628,93.469,4,FALSE
Mob Ties,Scorpion,Drake,Studio,6/29/18,2018,3.42,75,0.755,0.0443,0.755,0.575,0.00127,0.276,-8.392,0.0673,85.994,4,FALSE
Jaded,Scorpion,Drake,Studio,6/29/18,2018,4.37,69,0.766,0.0366,0.766,0.272,0,0.175,-5.696,0.041,116.036,4,FALSE
Is There More,Scorpion,Drake,Studio,6/29/18,2018,3.78,68,0.636,0.738,0.636,0.538,0,0.149,-7.725,0.312,83.508,4,FALSE
In My Feelings,Scorpion,Drake,Studio,6/29/18,2018,3.63,84,0.735,0.00623,0.735,0.482,0.0144,0.448,-9.445,0.139,181.995,4,FALSE
I'm Upset,Scorpion,Drake,Studio,6/29/18,2018,3.57,73,0.899,0.279,0.899,0.587,0,0.0835,-7.866,0.338,149.993,4,FALSE
God's Plan,Scorpion,Drake,Studio,6/29/18,2018,3.32,75,0.754,0.0329,0.754,0.449,7.84E-05,0.55,-9.212,0.108,77.167,4,FALSE
Finesse,Scorpion,Drake,Studio,6/29/18,2018,3.03,69,0.807,0.132,0.807,0.321,0.000289,0.1,-8.147,0.0571,94.994,4,FALSE
Final Fantasy,Scorpion,Drake,Studio,6/29/18,2018,3.67,67,0.461,0.428,0.461,0.449,8.29E-06,0.115,-10.998,0.442,86.505,4,FALSE
Emotionless,Scorpion,Drake,Studio,6/29/18,2018,5.04,74,0.413,0.0239,0.413,0.676,0,0.0811,-5.124,0.213,173.478,4,FALSE
Elevate,Scorpion,Drake,Studio,6/29/18,2018,3.08,73,0.755,0.0153,0.755,0.47,0,0.118,-8.72,0.139,76.056,4,FALSE
Don't Matter to Me,Scorpion,Drake,Studio,6/29/18,2018,4.1,81,0.825,0.497,0.825,0.317,0.0128,0.11,-12.39,0.0583,103.001,4,FALSE
Cant' Take a Joke,Scorpion,Drake,Studio,6/29/18,2018,2.73,72,0.878,0.041,0.878,0.432,0,0.0571,-9.852,0.143,86.956,4,FALSE
Blue Tint,Scorpion,Drake,Studio,6/29/18,2018,2.71,70,0.888,0.0126,0.888,0.377,0,0.19,-10.142,0.339,133.996,4,FALSE
After Dark,Scorpion,Drake,Studio,6/29/18,2018,4.83,70,0.65,0.0386,0.65,0.429,0,0.139,-13.071,0.192,141.855,4,FALSE
8 Out Of 10,Scorpion,Drake,Studio,6/29/18,2018,3.26,72,0.534,0.164,0.534,0.684,0,0.499,-7.874,0.717,170.416,4,FALSE
March 14,Scorpion,Drake,Studio,6/29/18,2018,5.16,67,0.5,0.4,0.5,0.419,0,0.36,-7.349,0.39,91.963,4,FALSE
Say Something (Featuring Drake),Shock Value II (International Deluxe version),Timbaland,Feature,1/1/09,2009,4.02,21,0.555,0.0845,0.555,0.713,0,0.712,-4.549,0.0911,79.934,4,TRUE
Signs,Signs,Drake,Single,6/23/17,2017,3.91,49,0.801,0.0864,0.801,0.727,0.00406,0.112,-4.687,0.0606,107.371,4,FALSE
Uptown,So Far Gone,Drake,EP,9/15/08,2008,6.35,20,0.761,0.00356,0.761,0.754,0,0.212,-4.674,0.269,128.012,4,FALSE
The Calm,So Far Gone,Drake,EP,9/15/08,2008,4.1,15,0.479,0.828,0.479,0.638,0.000201,0.11,-12.112,0.896,160.158,4,FALSE
Successful,So Far Gone,Drake,EP,9/15/08,2008,5.86,22,0.735,0.464,0.735,0.416,0,0.114,-7.939,0.387,159.109,4,FALSE
I'm Goin In,So Far Gone,Drake,EP,9/15/08,2008,3.75,23,0.662,0.0389,0.662,0.763,0,0.103,-8.455,0.377,170.031,4,FALSE
Houstatlantavegas,So Far Gone,Drake,EP,9/15/08,2008,4.84,19,0.699,0.319,0.699,0.576,0.00509,0.205,-9.304,0.0519,135.312,4,FALSE
Fear,So Far Gone,Drake,EP,9/15/08,2008,4.68,19,0.334,0.0615,0.334,0.783,0,0.11,-6.144,0.181,83.944,4,FALSE
Best I Ever Had,So Far Gone,Drake,EP,9/15/08,2008,4.3,44,0.457,0.204,0.457,0.855,0,0.28,-4.877,0.382,162.164,4,FALSE
So Good,So Good,Shanell,Feature,1/1/11,2011,4.29,2,0.574,0.000744,0.574,0.797,0,0.331,-8.617,0.0677,157.954,4,TRUE
Started From the Bottom,Started From the Bottom (Explicit Version),Drake,Single,1/1/13,2013,2.89,26,0.79,0.0391,0.79,0.54,0,0.266,-6.959,0.183,86.308,4,FALSE
Stay Schemin,Stay Schemin,Rick Ross,Feature,1/1/12,2012,4.46,30,0.448,0.0833,0.448,0.719,0,0.162,-4.179,0.291,162.09,4,TRUE
Why You Always Hatin?,Still Brazy (Deluxe),YG,Feature,6/17/16,2016,3.28,37,0.927,0.0442,0.927,0.362,0,0.139,-9.329,0.591,93.008,4,TRUE
Still Got It,Still Got It,Tyga,Feature,1/1/11,2011,3.72,7,0.51,0.375,0.51,0.864,1.15E-06,0.434,-4.795,0.372,119.198,5,TRUE
The One,Stronger withEach Tear (International Version),Mary J. Blige,Feature,1/1/10,2010,3.23,16,0.854,0.183,0.854,0.679,0,0.246,-6.328,0.251,104.052,4,TRUE
Summer Sixteen,Summer Sixteen,Drake,Single,1/31/16,2016,3.37,54,0.594,0.00354,0.594,0.46,2.71E-05,0.147,-7.607,0.382,146.274,4,FALSE
We'll Be Fine,Take Care,Drake,Studio,1/1/11,2011,4.13,6,0.386,0.00171,0.386,0.488,0,0.64,-7.303,0.422,193.178,4,FALSE
Under Ground Kings,Take Care,Drake,Studio,1/1/11,2011,3.54,7,0.487,5.20E-05,0.487,0.712,0,0.198,-7.323,0.27,156.209,4,FALSE
The Ride,Take Care,Drake,Studio,1/1/11,2011,5.85,4,0.556,0.517,0.556,0.702,0,0.342,-10.079,0.205,155.948,4,FALSE
The Real Her,Take Care,Drake,Studio,1/1/11,2011,5.35,3,0.567,0.166,0.567,0.309,0,0.12,-14.254,0.385,65.041,4,FALSE
The Motto,Take Care,Drake,Studio,2011,1905,3.03,73,0.766,0.000107,0.766,0.442,6.12E-05,0.111,-8.558,0.356,201.8,4,FALSE
Take Care,Take Care,Drake,Studio,1/1/11,2011,4.62,8,0.629,0.0267,0.629,0.515,1.22E-05,0.0888,-10.358,0.265,121.845,4,FALSE
Shot For Me,Take Care,Drake,Studio,1/1/11,2011,3.75,8,0.566,0.0555,0.566,0.465,0,0.567,-11.714,0.235,143.015,4,FALSE
Practice,Take Care,Drake,Studio,1/1/11,2011,3.96,6,0.446,0.574,0.446,0.239,7.76E-05,0.12,-15.327,0.0876,104.675,4,FALSE
Over My Dead Body,Take Care,Drake,Studio,1/1/11,2011,4.54,6,0.489,0.759,0.489,0.57,2.10E-06,0.179,-10.291,0.306,185.516,4,FALSE
Lord Knows,Take Care,Drake,Studio,1/1/11,2011,5.13,4,0.417,0.0786,0.417,0.887,0,0.834,-5.551,0.367,167.579,4,FALSE
Look What You've Done,Take Care,Drake,Studio,1/1/11,2011,5.03,5,0.495,0.485,0.495,0.351,0,0.0967,-14.669,0.34,134.369,4,FALSE
HYFR (Hell Ya Fucking Right),Take Care,Drake,Studio,1/1/11,2011,3.44,9,0.444,0.123,0.444,0.627,0,0.0795,-8.744,0.252,98.21,3,FALSE
Doing It Wrong,Take Care,Drake,Studio,1/1/11,2011,4.42,6,0.398,0.857,0.398,0.162,0.000103,0.102,-15.699,0.0441,69.608,3,FALSE
