"","Title","Date","Location","Price","Bedrooms","Link","Zipcode"
"26","1 bedroom - Gas Cooking, Private Landscaped Courtyards, Pet Friendly","Dec 21","character(0)","$3220","
                    1br -
                    918ft2 -
                ","https://newyork.craigslist.org/wch/abo/d/dobbs-ferry-1-bedroom-gas-cooking/6777902617.html","10522"
"27","1 bedroom - Chef-Inspired Kitchens, Spacious Floor Plans, Gas Cooking","Dec 21","character(0)","$3200","
                    1br -
                    921ft2 -
                ","https://newyork.craigslist.org/wch/abo/d/dobbs-ferry-1-bedroom-chef-inspired/6777899013.html","10522"
"28","1 bedroom - Private Landscaped Courtyards, LEED Silver Designed","Dec 21","character(0)","$2950","
                    1br -
                    780ft2 -
                ","https://newyork.craigslist.org/wch/abo/d/dobbs-ferry-1-bedroom-private/6777897971.html","10522"
"29","1 bedroom - Over-Sized Soaking Tubs, Gas Cooking, Chef-Inspired Kitchens","Dec 21","character(0)","$2935","
                    1br -
                    860ft2 -
                ","https://newyork.craigslist.org/wch/abo/d/dobbs-ferry-1-bedroom-over-sized/6768124498.html","10522"
"30","1 bedroom - Custom Cabinetry, Spacious Floor Plans, Indoor Garage Parking","Dec 21","character(0)","$3095","
                    1br -
                    918ft2 -
                ","https://newyork.craigslist.org/wch/abo/d/dobbs-ferry-1-bedroom-custom-cabinetry/6769649526.html","10522"
"31","1 bedroom - Nest Learning Thermostat, Pet Spa, Gas Cooking","Dec 20","character(0)","$3220","
                    1br -
                    918ft2 -
                ","https://newyork.craigslist.org/wch/abo/d/dobbs-ferry-1-bedroom-nest-learning/6771674232.html","10522"
"32","1 bedroom - Wide Plank Flooring, Spacious Floor Plans, Walk-In Closets","Dec 20","character(0)","$3095","
                    1br -
                    918ft2 -
                ","https://newyork.craigslist.org/wch/abo/d/dobbs-ferry-1-bedroom-wide-plank/6773494868.html","10522"
"33","1 bedroom - Pet Friendly, Spacious Floor Plans, Covered Bike Storage","Dec 20","character(0)","$3160","
                    1br -
                    871ft2 -
                ","https://newyork.craigslist.org/wch/abo/d/dobbs-ferry-1-bedroom-pet-friendly/6777327996.html","10522"
"34","1 bedroom - Nest Learning Thermostat, Walk-In Closets, Wide Plank Flooring","Dec 20","character(0)","$3060","
                    1br -
                    860ft2 -
                ","https://newyork.craigslist.org/wch/abo/d/dobbs-ferry-1-bedroom-nest-learning/6777316563.html","10522"
"35","1 bedroom - In-Unit Front Loading Washer/Dryer, Gas Cooking, Pet Spa","Dec 20","character(0)","$3220","
                    1br -
                    918ft2 -
                ","https://newyork.craigslist.org/wch/abo/d/dobbs-ferry-1-bedroom-in-unit-front/6777315487.html","10522"
"36","1 bedroom - LEED Silver Designed, Walk-In Closets, Custom Cabinetry","Dec 20","character(0)","$3200","
                    1br -
                    921ft2 -
                ","https://newyork.craigslist.org/wch/abo/d/dobbs-ferry-1-bedroom-leed-silver/6777314520.html","10522"
"37","1 bedroom - Indoor Garage Parking, Pet Spa, Custom Cabinetry","Dec 20","character(0)","$2950","
                    1br -
                    780ft2 -
                ","https://newyork.craigslist.org/wch/abo/d/dobbs-ferry-1-bedroom-indoor-garage/6777312689.html","10522"
"38","1 bedroom - Pet Friendly, Fitness Center with Motion Studio, Pet Spa","Dec 20","character(0)","$2860","
                    1br -
                    827ft2 -
                ","https://newyork.craigslist.org/wch/abo/d/dobbs-ferry-1-bedroom-pet-friendly/6773493332.html","10522"
"39","1 bedroom - Electric Car Charging Station, Pet Spa, Walk-In Closets","Dec 19","character(0)","$3060","
                    1br -
                    860ft2 -
                ","https://newyork.craigslist.org/wch/abo/d/dobbs-ferry-1-bedroom-electric-car/6771675453.html","10522"
