month_date_yyyymm,postal_code,zip_name,city,state,nielsen_hh_rank,hotness_rank,hotness_rank_mm,hotness_rank_yy,hotness_score,supply_score,demand_score,median_days_on_market,median_days_on_market_mm,median_dom_mm_day,median_days_on_market_yy,median_dom_yy_day,median_dom_vs_us,ldpviews_per_property_mm,ldpviews_per_property_yy,ldpviews_per_property_vs_us,median_listing_price,median_listing_price_mm,median_listing_price_yy,median_listing_price_vs_us,cbsa_name,cbsa_zip_name
2020-11-01,85040,"phoenix, az",phoenix,az,4774,2352,1406,-1398,74.366416,83.92740353,64.80542838,37,-0.075,-3,0.0882,3,-20.5,-0.0401,0.555,1.2746,250050,0.0421,0.1111,0.7179,"Phoenix-Mesa-Glendale, AZ Metropolitan Statistical Area","Phoenix, AZ"
2020-11-01,85003,"phoenix, az",phoenix,az,9001,10095,-98,-1853,22.751799,22.0323741,23.47122302,79.5,0.2231,14.5,0.0063,0.5,22,-0.0814,0.0972,0.6475,446500,-0.0601,-0.0295,1.2819,"Phoenix-Mesa-Glendale, AZ Metropolitan Statistical Area","Phoenix, AZ"
2020-11-01,85018,"phoenix, az",phoenix,az,1254,4400,424,1382,60.815893,58.51863963,63.11314585,49,0.1395,6,-0.2344,-15,-8.5,0.0377,0.9934,1.2418,937050,-0.1076,0.0709,2.6905,"Phoenix-Mesa-Glendale, AZ Metropolitan Statistical Area","Phoenix, AZ"
2020-11-01,85027,"phoenix, az",phoenix,az,1540,1017,27,-858,85.484794,92.19260955,78.77697842,31.5,0.125,3.5,0.26,6.5,-26,-0.10780000000000001,0.4197,1.5943,282050,0.0071,0.1059,0.8097,"Phoenix-Mesa-Glendale, AZ Metropolitan Statistical Area","Phoenix, AZ"
2020-11-01,85033,"phoenix, az",phoenix,az,2034,1586,485,463,80.514225,95.26651406,65.76193591,28.5,-0.1094,-3.5,-0.2297,-8.5,-29,-0.1346,0.9688,1.291,237499.5,-0.0019,0.1044,0.6818,"Phoenix-Mesa-Glendale, AZ Metropolitan Statistical Area","Phoenix, AZ"
2020-11-01,85028,"phoenix, az",phoenix,az,5310,1659,-45,1651,79.937868,87.43459778,72.441138,35,0.2963,8,-0.3,-15,-22.5,-0.0304,1.1938,1.4385,507500,-0.0147,0.1801,1.4571,"Phoenix-Mesa-Glendale, AZ Metropolitan Statistical Area","Phoenix, AZ"
2020-11-01,85044,"phoenix, az",phoenix,az,967,1075,699,-338,84.957489,94.46533682,75.44964029,29.5,-0.1571,-5.5,-0.2805,-11.5,-28,-0.1425,0.5684,1.5041,372550,-0.0424,-0.0325,1.0696,"Phoenix-Mesa-Glendale, AZ Metropolitan Statistical Area","Phoenix, AZ"
2020-11-01,85043,"phoenix, az",phoenix,az,3841,944,1388,886,86.122466,93.32079791,78.92413342,30.5,0.0893,2.5,-0.2375,-9.5,-27,0.242,1.2674,1.5984,274950,-0.0182,0.1465,0.7894,"Phoenix-Mesa-Glendale, AZ Metropolitan Statistical Area","Phoenix, AZ"
2020-11-01,85021,"phoenix, az",phoenix,az,1551,3326,168,1095,67.736266,88.36657946,47.1059516,34.5,0.0147,0.5,-0.3235,-16.5,-23,-0.1489,0.7391,0.9836,390000,-0.1521,-0.2122,1.1197,"Phoenix-Mesa-Glendale, AZ Metropolitan Statistical Area","Phoenix, AZ"
2020-11-01,85086,"phoenix, az",phoenix,az,1700,1276,285,594,83.081262,76.62688031,89.53564421,40.5,0.1571,5.5,-0.2212,-11.5,-17,0.0699,1.1681,2.0082,584950,0.1141,0.1584,1.6795,"Phoenix-Mesa-Glendale, AZ Metropolitan Statistical Area","Anthem, AZ"
